"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"97",2018-09-29,"17:36:17",33.457889,-112.040821,"7","5",36.2,12,2.6,35.6,36.1
"98",2018-09-29,"17:36:17",33.457906,-112.040825,"7","5",36.2,12,2.4,37.3,36.8
"99",2018-09-29,"17:36:17",33.457915,-112.040806,"7","5",36.2,12,2.4,37.3,36.8
"100",2018-09-29,"17:36:17",33.45796,-112.04079,"7","5",36.2,12,2.4,37.6,36.9
"101",2018-09-29,"17:36:17",33.457963,-112.040786,"7","5",36.2,12,2.4,37.6,36.9
"102",2018-09-29,"16:55:16",33.451536,-112.046581,"3","6",38.1,12,1.3,61.3,50.8
"103",2018-09-29,"16:55:16",33.451545,-112.046641,"3","6",38,12,0.8,64.4,52.8
"104",2018-09-29,"16:56:16",33.451579,-112.046676,"3","6",38,12,0.4,62.6,52.3
"105",2018-09-29,"16:56:16",33.451585,-112.046686,"3","6",38,12,0.4,62.6,52.3
"106",2018-09-29,"16:56:16",33.451585,-112.04669,"3","6",38,12,0.4,62.6,52.3
"107",2018-09-29,"16:56:16",33.451586,-112.04669,"3","6",38,12,0.4,62.6,52.3
"108",2018-09-29,"16:56:16",33.451586,-112.04669,"3","6",38,12,0.4,62.6,52.3
"109",2018-09-29,"16:56:16",33.451588,-112.046691,"3","6",38,12,0.4,62.6,52.3
"110",2018-09-29,"16:57:16",33.451588,-112.046691,"3","6",38,12,0.4,62.6,52.3
"111",2018-09-29,"16:57:16",33.451588,-112.04669,"3","6",38,12,0.4,62.6,52.3
"112",2018-09-29,"16:57:16",33.451585,-112.046693,"3","6",38,12,0.4,62.6,52.3
"113",2018-09-29,"16:57:16",33.45163,-112.046688,"3","6",38.1,12,0.5,63.1,52.5
"114",2018-09-29,"16:57:16",33.451669,-112.046643,"3","6",38,11,0.2,63.2,53.1
"115",2018-09-29,"16:57:16",33.451709,-112.046625,"3","6",38,11,0.9,64.3,52.6
"116",2018-09-29,"17:32:17",33.45775,-112.040961,"7","6",38,12,0.8,62.2,51.6
"117",2018-09-29,"17:33:17",33.457751,-112.04098,"7","6",37.8,13,2.1,60.3,49.6
"118",2018-09-29,"17:33:17",33.457756,-112.040981,"7","6",37.8,13,2.1,60.3,49.6
"119",2018-09-29,"17:33:17",33.457766,-112.040974,"7","6",37.8,13,2.1,60.3,49.6
"120",2018-09-29,"17:33:17",33.45778,-112.040976,"7","6",37.8,13,2.1,60.3,49.6
"121",2018-09-29,"17:33:17",33.457784,-112.041011,"7","6",37.8,13,2.3,61.3,50.1
"122",2018-09-29,"17:34:17",33.45775,-112.041008,"7","6",37.8,13,2.3,61.3,50.1
"123",2018-09-29,"17:34:17",33.45775,-112.041004,"7","6",37.8,13,2.3,61.3,50.1
"124",2018-09-29,"17:34:17",33.457753,-112.041004,"7","6",37.8,13,2.3,61.3,50.1
"125",2018-09-29,"17:34:17",33.457763,-112.041004,"7","6",37.8,13,2.3,61.3,50.1
"126",2018-09-29,"17:33:17",33.457756,-112.041023,"7","6",37.8,13,1.5,61.3,50.4
"127",2018-09-29,"17:02:17",33.451543,-112.046571,"3","7",38.1,12,1.5,60.6,50.3
"128",2018-09-29,"17:03:17",33.451543,-112.046573,"3","7",38.1,12,1.5,60.6,50.3
"129",2018-09-29,"17:03:17",33.451543,-112.046573,"3","7",38.1,12,1.5,60.6,50.3
"130",2018-09-29,"17:01:17",33.451541,-112.046576,"3","7",38.1,12,1.3,61.3,50.8
"131",2018-09-29,"17:02:17",33.451553,-112.046588,"3","7",38.1,12,1.3,61.3,50.8
"132",2018-09-29,"17:02:17",33.451549,-112.046588,"3","7",38.1,12,1.3,61.3,50.8
"133",2018-09-29,"17:02:17",33.451548,-112.046578,"3","7",38.1,12,1.3,61.3,50.8
"134",2018-09-29,"17:02:17",33.451545,-112.046575,"3","7",38.1,12,1.3,61.3,50.8
"135",2018-09-29,"17:03:17",33.451546,-112.046578,"3","7",38.1,12,1.3,61.3,50.8
"136",2018-09-29,"17:03:17",33.451548,-112.046591,"3","7",38.1,12,1.3,61.3,50.8
"137",2018-09-29,"17:02:17",33.451553,-112.046603,"3","7",38.1,12,0.7,61.8,51.5
"138",2018-09-29,"17:03:17",33.451563,-112.046595,"3","7",38.1,12,0.7,61.8,51.5
"139",2018-09-29,"17:01:17",33.451554,-112.046608,"3","7",38.1,11,1.4,61.8,51
"140",2018-09-29,"17:03:17",33.451653,-112.046598,"3","7",38,11,0.2,63.2,53.1
"141",2018-09-29,"17:50:17",33.457754,-112.04092,"7","7",37.8,12,0.5,59.3,50
"142",2018-09-29,"17:50:17",33.457754,-112.04092,"7","7",37.8,12,0.5,59.3,50
"143",2018-09-29,"17:50:17",33.457753,-112.04092,"7","7",37.8,12,0.5,59.3,50
"144",2018-09-29,"17:50:17",33.457753,-112.04092,"7","7",37.8,12,0.5,59.3,50
"145",2018-09-29,"17:50:17",33.457753,-112.04092,"7","7",37.8,12,0.5,59.3,50
"146",2018-09-29,"17:50:17",33.457753,-112.040921,"7","7",37.8,12,0.5,59.3,50
"147",2018-09-29,"17:51:17",33.457753,-112.040921,"7","7",37.8,12,0.5,59.3,50
