"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"178","Hopewell Culture NHP",2022,51850,0,103701,0,0,0,0,0,0,0,0
"179","Hopewell Furnace NHS",2022,57238,600,69426,300,0,0,0,0,0,0,0
"180","Horseshoe Bend NMP",2022,67773,0,201427,0,0,0,0,0,0,0,0
"181","Hot Springs NP",2022,2646133,150800,7501578,171912,0,0,633,35741,0,0,0
"182","Hovenweep NM",2022,28446,300,99564,60,0,0,557,1221,0,0,0
"183","Hubbell Trading Post NHS",2022,50017,4584,25842,1056,0,0,0,0,0,0,0
"184","Independence NHP",2022,2688302,0,4054270,0,0,0,0,0,0,0,0
"185","Indiana Dunes NP",2022,2834180,3943,7755716,1968,0,0,22460,11039,0,0,0
"186","Isle Royale NP",2022,25454,122,1404008,46928,11119,217,6201,0,27619,1954,12003
"187","James A. Garfield NHS",2022,32173,0,64346,0,0,0,0,0,0,0,0
"188","Jean Lafitte NHP & PRES",2022,269748,192000,587072,91320,0,0,0,0,0,0,0
"189","Jewel Cave NM",2022,119343,87,332595,87,0,0,0,0,0,0,0
"190","Jimmy Carter NHP",2022,35308,0,43030,0,0,0,0,0,0,0,0
"191","John D. Rockefeller, Jr. MEM PKWY",2022,1091196,10800,2540279,2700,23574,47113,0,0,0,0,0
"192","John Day Fossil Beds NM",2022,165201,840,191635,84,0,0,0,0,0,0,0
"193","John F. Kennedy NHS",2022,100,0,50,0,0,0,0,0,0,0,0
"194","John Muir NHS",2022,38878,0,58316,0,0,0,0,0,0,0,0
"195","Johnstown Flood NMEM",2022,148142,147646,156595,4427,0,0,0,0,0,0,0
"196","Joshua Tree NP",2022,3058294,11329,18387207,11329,0,0,211452,97494,12591,0,74494
"197","Kalaupapa NHP",2022,38771,0,83461,0,0,0,0,0,0,0,0
"198","Kaloko Honokohau NHP",2022,291342,0,634260,0,0,0,0,0,0,0,0
"199","Katahdin Woods and Waters NM",2022,43231,7294,203503,3648,0,0,1457,128,481,0,0
"200","Katmai NP & PRES",2022,33908,7536,595910,93884,4867,0,5812,0,5391,1965,0
"201","Kenai Fjords NP",2022,389943,0,1368552,0,0,0,556,0,70,0,994
"202","Kennesaw Mountain NBP",2022,1322003,25986620,2054535,4157860,0,0,0,0,0,0,0
"203","Keweenaw NHP",2022,15255,948,27953,948,0,0,0,0,0,0,0
"204","Kings Canyon NP",2022,640986,27247,21307944,108988,35167,0,111236,34940,13798,0,1934
"205","Kings Mountain NMP",2022,238656,236601,92780,39417,0,0,0,0,5,0,0
"206","Klondike Gold Rush NHP Alaska",2022,342909,0,405438,0,0,0,0,0,586,0,0
"207","Klondike Gold Rush NHP Seattle",2022,60423,0,105740,0,0,0,0,0,0,0,0
"208","Knife River Indian Villages NHS",2022,9217,377,13451,189,0,0,0,0,0,0,0
"209","Kobuk Valley NP",2022,16925,7750,240548,225200,0,0,0,0,7350,6800,0
"210","Korean War Veterans Memorial",2022,4010009,0,2005004,0,0,0,0,0,0,0,0
"211","Lake Chelan NRA",2022,38207,0,613298,0,9280,0,7719,0,2701,0,0
"212","Lake Clark NP & PRES",2022,18187,2722,162918,43988,0,0,0,0,5421,1752,331
"213","Lake Mead NRA",2022,5578226,202320,42814308,1213914,28256,226803,43138,54901,28747,0,48949
"214","Lake Meredith NRA",2022,1276717,0,3662095,0,0,0,10491,44040,0,0,5941
"215","Lake Roosevelt NRA",2022,1128725,1200,4404492,600,7847,8020,51368,58726,2709,0,8081
"216","Lassen Volcanic NP",2022,446291,0,4845030,0,0,0,60426,29355,903,0,12520
"217","Lava Beds NM",2022,130969,771,420230,381,0,0,4408,3312,0,0,14
"218","LBJ Memorial Grove on the Potomac",2022,242325,0,121165,0,0,0,0,0,0,0,0
