"","year","epa_region","state","number_NPDESpermits_majorwatershed","number_NPDESpermits_nonmajorwatershed","total_pollutants_lb_yr_majorwateshed","total_pollutants_lb_yr_nonmajorwateshed","total_TOXICpollutants_lb_yr_majorwatershed","total_TOXICpollutants_lb_yr_nonmajorwatershed"
"139",2021,"6","LOUISIANA",240,1035,6236978587,1463115354,778707,59610429
"140",2021,"1","MAINE",74,328,87939662,1124506,10548,2048
"141",2021,"9","MARIANA ISLANDS",2,3,307716,25,114,0
"142",2021,"3","MARYLAND",92,387,65274448,65251112,1185305,14972
"143",2021,"1","MASSACHUSETTS",120,99,162767220,185413170,1264664,39596
"144",2021,"5","MICHIGAN",187,614,927292913,644948568,318960,427664
"145",2021,"5","MINNESOTA",102,564,2152211013,144999210,422164,2968
"146",2021,"4","MISSISSIPPI",92,1085,137793502,219941623,65790,32668
"147",2021,"7","MISSOURI",179,2671,2629337258,16615724625,668467,2771729
"148",2021,"8","MONTANA",33,149,70402382,26588705,24349,2274
"149",2021,"7","NEBRASKA",51,633,124059555,2010812048,47054,191429
"150",2021,"9","NEVADA",14,82,634491526,272036836,11438,26969
"151",2021,"1","NEW HAMPSHIRE",48,33,214721203,670029,17826,719
"152",2021,"2","NEW JERSEY",133,346,343030078,20350482,162339,1284
"153",2021,"6","NEW MEXICO",33,77,151914586,11603833,40895118,166613
"154",2021,"2","NEW YORK",313,1280,884628758,206572572,1344472,257499
"155",2021,"4","NORTH CAROLINA",226,1161,229402533,7089754668,55811,141139
"156",2021,"8","NORTH DAKOTA",24,86,91509086,27949819,21847,31426
"157",2021,"5","OHIO",286,3061,4584734272,1801085697,225556,36421
"158",2021,"6","OKLAHOMA",106,355,253103699,783846873,123076,12356
"159",2021,"10","OREGON",73,278,141340606,14831430,105996,11646
"160",2021,"3","PENNSYLVANIA",400,6776,5228273506,6436388695,14641230,4354178
"161",2021,"2","PUERTO RICO",66,140,2510867995,59965578,4475441,9849
"162",2021,"1","RHODE ISLAND",23,47,14487345,1414601,28227,2295
"163",2021,"4","SOUTH CAROLINA",159,423,159905918,6108106,267148,1705875
"164",2021,"8","SOUTH DAKOTA",23,233,25192638,48325881,10172,2182
"165",2021,"4","TENNESSEE",163,932,1458060229,100202149,419828,75937
"166",2021,"6","TEXAS",730,2654,10653986842,2903298946,2651744,1383996
"167",2021,"8","UTAH",42,172,500620687,34802313,288447,24041
