"","city","bedrooms","bathrooms","sq_ft","price"
"203","Atascadero",3,2,1022,239000
"204","Atascadero",3,2,1665,399500
"205","Paso Robles",3,2,1209,299900
"206","Lompoc",3,2,1700,275000
"207","Morro Bay",4,2,1736,395000
"208","Santa Maria-Orcutt",1,1,731,105000
"209","Santa Maria-Orcutt",3,2,1086,179999
"210","Santa Maria-Orcutt",3,2,1131,219000
"211","Solvang",3,3,1500,325000
"212","Atascadero",4,3,3827,829900
"213","Santa Maria-Orcutt",2,1,1100,165000
"214","Santa Maria-Orcutt",3,2,1398,179000
"215","Paso Robles",3,2,1381,279000
"216","Atascadero",4,4,3387,820000
"217","Paso Robles",2,1,1250,399000
"218","San Miguel",3,1,965,164900
"219","Santa Maria-Orcutt",4,2,1860,235000
"220","Arroyo Grande",4,5,5411,1900000
"221","Nipomo",3,2,1367,289000
"222","Paso Robles",3,2,1640,355000
"223","Santa Maria-Orcutt",3,2,1269,199000
"224","Santa Maria-Orcutt",3,2,1275,209000
"225","Lompoc",3,1,912,186900
"226","Santa Maria-Orcutt",4,2,1460,240000
"227","Nipomo",2,2,2000,515000
"228","Santa Maria-Orcutt",4,2,1750,215000
"229","Santa Maria-Orcutt",4,4,3050,399900
"230","Paso Robles",4,3,2371,369000
"231","Paso Robles",2,2,1292,250000
"232","Paso Robles",3,2,1640,259000
"233","Santa Maria-Orcutt",2,2,1082,180000
"234","Solvang",3,2,1522,399900
"235","Arroyo Grande",3,2,1535,385000
"236","Santa Maria-Orcutt",2,2,1100,154000
"237","San Luis Obispo",2,2,966,254900
"238","Paso Robles",4,2,1653,315000
"239","Santa Maria-Orcutt",3,3,2523,437500
"240","Santa Maria-Orcutt",3,3,2511,299900
"241","Arroyo Grande",3,3,1772,399000
"242","Paso Robles",3,3,1889,330000
"243","Arroyo Grande",2,2,880,279000
"244","Santa Maria-Orcutt",3,2,1400,248000
"245","Santa Maria-Orcutt",3,3,1494,209000
"246","Los Osos",3,2,1844,729000
"247","Atascadero",4,3,1900,454500
"248","Paso Robles",3,2,1176,249000
"249","Nipomo",3,5,4463,1700000
"250","Grover Beach",3,2,1635,349000
"251","Grover Beach",3,3,2095,575000
"252","Santa Maria-Orcutt",3,2,1300,185000
"253","Santa Maria-Orcutt",3,2,1200,165000
"254","Morro Bay",0,1,910,311900
"255","Santa Maria-Orcutt",3,2,1600,175000
"256","Lompoc",4,2,1332,180000
"257","Santa Maria-Orcutt",2,2,1680,78000
"258","Oceano",2,1,1313,142900
"259","Atascadero",4,4,3744,850000
"260","Paso Robles",3,2,1998,389000
"261","Santa Maria-Orcutt",3,3,2714,641900
"262","Templeton",4,2,1797,305000
"263","Paso Robles",3,3,1687,260000
"264","Paso Robles",3,2,1663,320000
"265","Atascadero",2,1,792,199000
"266","Santa Maria-Orcutt",2,2,1410,299000
"267","Buellton",2,2,1085,289000
"268","Santa Maria-Orcutt",3,3,1900,229900
"269","Atascadero",4,3,3305,865000
"270","Atascadero",4,4,3962,900000
"271","Atascadero",2,3,1260,199000
